User_ID,Age,Gender,Platform,Daily_Usage_Time_min,Posts_Per_Day,Likes_Received_Daily,Comments_Received_Daily,Messages_Sent_Daily,Scroll_Rate_ppm,Addiction_Level,Emotional_State_Post_Usage,Productivity_Loss_Score,Mental_Health_Index,FOMO_Score
1001,23,Female,Instagram,145,3,120,25,45,40,High,Anxious,7,45,8
1002,19,Male,TikTok,210,1,45,5,10,85,Severe,Depressed,9,30,9
1003,28,Female,LinkedIn,45,0,5,2,15,10,Low,Motivated,2,80,3
1004,35,Male,Facebook,90,2,30,10,20,25,Moderate,Neutral,4,65,5
1005,21,Non-binary,Twitter,180,15,200,60,50,55,High,Stressed,8,40,7
1006,25,Male,YouTube,240,0,10,1,0,10,Severe,Bored,9,35,4
1007,31,Female,Instagram,60,1,50,8,30,20,Moderate,Happy,3,75,4
1008,22,Male,TikTok,165,5,90,12,35,70,High,Envious,6,50,8
1009,29,Female,Pinterest,30,0,2,0,5,15,Low,Inspired,1,85,2
1010,40,Male,Facebook,50,1,15,3,10,10,Low,Neutral,2,70,3
1011,18,Female,Snapchat,190,8,60,20,120,45,High,Lonely,7,40,9
1012,26,Male,Twitter,120,10,150,45,25,50,Moderate,Angry,5,55,6
1013,33,Female,LinkedIn,20,0,1,0,5,5,Low,Neutral,1,90,2
1014,24,Male,Reddit,150,2,25,15,0,30,Moderate,Curious,5,60,5
1015,20,Female,TikTok,300,4,80,30,40,95,Severe,Drained,10,25,10
1016,27,Male,Instagram,110,2,75,10,25,35,Moderate,Anxious,4,60,6
1017,38,Female,Facebook,40,1,20,5,15,10,Low,Connected,2,80,3
1018,22,Non-binary,Discord,200,0,5,2,300,20,High,Overwhelmed,8,45,7
1019,30,Male,YouTube,130,0,15,2,0,10,Moderate,Relaxed,4,70,4
1020,19,Female,Snapchat,175,12,100,25,150,50,High,Insecure,8,35,9
